Compound_id,Disease_id,relation_type,database
DB00523,DOID:1192,CtD,Hetionet
DB00851,DOID:1909,CtD,Hetionet
DB00270,DOID:10763,CtD,Hetionet
DB00226,DOID:10763,CtD,Hetionet
DB08828,DOID:4159,CtD,Hetionet
DB00982,DOID:1192,CtD,Hetionet
DB00937,DOID:9970,CtD,Hetionet
DB01177,DOID:1612,CtD,Hetionet
DB00492,DOID:10763,CtD,Hetionet
DB00635,DOID:3310,CtD,Hetionet
DB00688,DOID:8893,CtD,Hetionet
DB00651,DOID:2841,CtD,Hetionet
DB00305,DOID:11054,CtD,Hetionet
DB00762,DOID:1793,CtD,Hetionet
DB00515,DOID:2994,CtD,Hetionet
DB01177,DOID:2531,CtD,Hetionet
DB00973,DOID:1936,CtD,Hetionet
DB01410,DOID:2841,CtD,Hetionet
DB00224,DOID:635,CtD,Hetionet
DB00864,DOID:3310,CtD,Hetionet
DB00860,DOID:2841,CtD,Hetionet
DB00775,DOID:3393,CtD,Hetionet
DB00352,DOID:2531,CtD,Hetionet
DB08881,DOID:1909,CtD,Hetionet
DB00445,DOID:10534,CtD,Hetionet
DB00563,DOID:10534,CtD,Hetionet
DB00762,DOID:1324,CtD,Hetionet
DB00570,DOID:2531,CtD,Hetionet
DB08868,DOID:2377,CtD,Hetionet
DB00997,DOID:1324,CtD,Hetionet
DB00876,DOID:10763,CtD,Hetionet
DB00445,DOID:1793,CtD,Hetionet
DB01583,DOID:1459,CtD,Hetionet
DB00441,DOID:2531,CtD,Hetionet
DB00250,DOID:9074,CtD,Hetionet
DB01204,DOID:1115,CtD,Hetionet
DB08816,DOID:3393,CtD,Hetionet
DB00398,DOID:1781,CtD,Hetionet
DB00741,DOID:7148,CtD,Hetionet
DB00764,DOID:3310,CtD,Hetionet
DB00178,DOID:10763,CtD,Hetionet
DB00441,DOID:1612,CtD,Hetionet
DB01248,DOID:1909,CtD,Hetionet
DB00964,DOID:1686,CtD,Hetionet
DB00553,DOID:8893,CtD,Hetionet
DB01260,DOID:3310,CtD,Hetionet
DB00997,DOID:2531,CtD,Hetionet
DB00541,DOID:1115,CtD,Hetionet
DB00279,DOID:1459,CtD,Hetionet
DB00649,DOID:635,CtD,Hetionet
DB00630,DOID:5408,CtD,Hetionet
DB00290,DOID:2994,CtD,Hetionet
DB00958,DOID:1612,CtD,Hetionet
DB01273,DOID:0050742,CtD,Hetionet
DB01005,DOID:11934,CtD,Hetionet
DB00328,DOID:13189,CtD,Hetionet
DB08871,DOID:1612,CtD,Hetionet
DB00331,DOID:9352,CtD,Hetionet
DB00691,DOID:10763,CtD,Hetionet
DB00286,DOID:11476,CtD,Hetionet
DB00242,DOID:2531,CtD,Hetionet
DB00884,DOID:11476,CtD,Hetionet
DB00169,DOID:8577,CtD,Hetionet
DB00773,DOID:1319,CtD,Hetionet
DB04572,DOID:1612,CtD,Hetionet
DB00620,DOID:7147,CtD,Hetionet
DB00755,DOID:1192,CtD,Hetionet
DB00331,DOID:11612,CtD,Hetionet
DB00997,DOID:263,CtD,Hetionet
DB01077,DOID:5408,CtD,Hetionet
DB01274,DOID:2841,CtD,Hetionet
DB01008,DOID:2531,CtD,Hetionet
DB00385,DOID:11054,CtD,Hetionet
DB00741,DOID:2841,CtD,Hetionet
DB00620,DOID:3310,CtD,Hetionet
DB00773,DOID:2998,CtD,Hetionet
DB00869,DOID:1686,CtD,Hetionet
DB00195,DOID:1686,CtD,Hetionet
DB00441,DOID:1324,CtD,Hetionet
DB00091,DOID:8893,CtD,Hetionet
DB00445,DOID:3571,CtD,Hetionet
DB00819,DOID:1686,CtD,Hetionet
DB00970,DOID:2174,CtD,Hetionet
DB00905,DOID:1686,CtD,Hetionet
DB00880,DOID:10763,CtD,Hetionet
DB00695,DOID:12930,CtD,Hetionet
DB08860,DOID:3393,CtD,Hetionet
DB00515,DOID:1324,CtD,Hetionet
DB00900,DOID:635,CtD,Hetionet
DB00563,DOID:8893,CtD,Hetionet
DB00773,DOID:4045,CtD,Hetionet
DB00635,DOID:418,CtD,Hetionet
DB00678,DOID:10763,CtD,Hetionet
DB00851,DOID:1793,CtD,Hetionet
DB00445,DOID:10283,CtD,Hetionet
DB00678,DOID:3393,CtD,Hetionet
DB00394,DOID:8893,CtD,Hetionet
DB00989,DOID:10652,CtD,Hetionet
DB00290,DOID:4159,CtD,Hetionet
DB00550,DOID:12361,CtD,Hetionet
DB00762,DOID:2531,CtD,Hetionet
DB00655,DOID:10283,CtD,Hetionet
DB00541,DOID:263,CtD,Hetionet
DB00736,DOID:9206,CtD,Hetionet
DB00970,DOID:1115,CtD,Hetionet
DB00341,DOID:4481,CtD,Hetionet
DB01197,DOID:10763,CtD,Hetionet
DB01042,DOID:2531,CtD,Hetionet
DB01261,DOID:9352,CtD,Hetionet
DB00195,DOID:10763,CtD,Hetionet
DB00959,DOID:7148,CtD,Hetionet
DB01014,DOID:8778,CtD,Hetionet
DB00262,DOID:3070,CtD,Hetionet
DB00396,DOID:363,CtD,Hetionet
DB00773,DOID:1324,CtD,Hetionet
DB00361,DOID:2531,CtD,Hetionet
DB00762,DOID:10534,CtD,Hetionet
DB00741,DOID:3310,CtD,Hetionet
DB01005,DOID:2531,CtD,Hetionet
DB00710,DOID:11476,CtD,Hetionet
DB00331,DOID:14221,CtD,Hetionet
DB00421,DOID:10763,CtD,Hetionet
DB00851,DOID:2531,CtD,Hetionet
DB00718,DOID:2043,CtD,Hetionet
DB00966,DOID:3393,CtD,Hetionet
DB01131,DOID:12365,CtD,Hetionet
DB00227,DOID:1936,CtD,Hetionet
DB00273,DOID:1826,CtD,Hetionet
DB00322,DOID:10534,CtD,Hetionet
DB00851,DOID:4045,CtD,Hetionet
DB00177,DOID:10763,CtD,Hetionet
DB00958,DOID:363,CtD,Hetionet
DB00959,DOID:9008,CtD,Hetionet
DB00773,DOID:2531,CtD,Hetionet
DB00262,DOID:1319,CtD,Hetionet
DB00839,DOID:9352,CtD,Hetionet
DB04572,DOID:1115,CtD,Hetionet
DB00394,DOID:2841,CtD,Hetionet
DB01274,DOID:3083,CtD,Hetionet
DB00958,DOID:2174,CtD,Hetionet
DB01124,DOID:9352,CtD,Hetionet
DB00262,DOID:0060073,CtD,Hetionet
DB00949,DOID:1826,CtD,Hetionet
DB00515,DOID:2998,CtD,Hetionet
DB00591,DOID:8893,CtD,Hetionet
DB00997,DOID:10534,CtD,Hetionet
DB00313,DOID:1826,CtD,Hetionet
DB00672,DOID:9352,CtD,Hetionet
DB01234,DOID:9074,CtD,Hetionet
DB00178,DOID:9352,CtD,Hetionet
DB01248,DOID:4159,CtD,Hetionet
DB00445,DOID:1781,CtD,Hetionet
DB00373,DOID:6364,CtD,Hetionet
DB01234,DOID:7147,CtD,Hetionet
DB01590,DOID:263,CtD,Hetionet
DB00620,DOID:9074,CtD,Hetionet
DB00471,DOID:2841,CtD,Hetionet
DB00773,DOID:10283,CtD,Hetionet
DB01013,DOID:8893,CtD,Hetionet
DB01064,DOID:2841,CtD,Hetionet
DB01162,DOID:10763,CtD,Hetionet
DB00977,DOID:10283,CtD,Hetionet
DB00688,DOID:9074,CtD,Hetionet
DB00882,DOID:14227,CtD,Hetionet
DB01229,DOID:1324,CtD,Hetionet
DB00716,DOID:2841,CtD,Hetionet
DB00773,DOID:1115,CtD,Hetionet
DB01041,DOID:2531,CtD,Hetionet
DB00675,DOID:1793,CtD,Hetionet
DB01200,DOID:9352,CtD,Hetionet
DB00484,DOID:1686,CtD,Hetionet
DB01132,DOID:9352,CtD,Hetionet
DB08865,DOID:1324,CtD,Hetionet
DB00659,DOID:0050741,CtD,Hetionet
DB00277,DOID:2841,CtD,Hetionet
DB00620,DOID:7148,CtD,Hetionet
DB01005,DOID:1319,CtD,Hetionet
DB01168,DOID:2531,CtD,Hetionet
DB00553,DOID:2531,CtD,Hetionet
DB00958,DOID:5041,CtD,Hetionet
DB00441,DOID:11054,CtD,Hetionet
DB00443,DOID:7147,CtD,Hetionet
DB01075,DOID:3310,CtD,Hetionet
DB01586,DOID:12236,CtD,Hetionet
DB00995,DOID:9008,CtD,Hetionet
DB01115,DOID:10763,CtD,Hetionet
DB00620,DOID:2531,CtD,Hetionet
DB00286,DOID:10283,CtD,Hetionet
DB01203,DOID:10763,CtD,Hetionet
DB00959,DOID:3310,CtD,Hetionet
DB00762,DOID:219,CtD,Hetionet
DB01259,DOID:1612,CtD,Hetionet
DB01409,DOID:2841,CtD,Hetionet
DB01222,DOID:2841,CtD,Hetionet
DB05812,DOID:10283,CtD,Hetionet
DB00701,DOID:635,CtD,Hetionet
DB00709,DOID:2043,CtD,Hetionet
DB00570,DOID:11934,CtD,Hetionet
DB01656,DOID:3083,CtD,Hetionet
DB00985,DOID:3310,CtD,Hetionet
DB01409,DOID:3083,CtD,Hetionet
DB00177,DOID:9352,CtD,Hetionet
DB00563,DOID:4045,CtD,Hetionet
DB06777,DOID:12236,CtD,Hetionet
DB00622,DOID:10763,CtD,Hetionet
DB01136,DOID:10763,CtD,Hetionet
DB00997,DOID:1192,CtD,Hetionet
DB00997,DOID:1793,CtD,Hetionet
DB00244,DOID:8778,CtD,Hetionet
DB00970,DOID:1909,CtD,Hetionet
DB00563,DOID:2531,CtD,Hetionet
DB00764,DOID:2841,CtD,Hetionet
DB01029,DOID:9352,CtD,Hetionet
DB01003,DOID:2841,CtD,Hetionet
DB00398,DOID:263,CtD,Hetionet
DB00800,DOID:10763,CtD,Hetionet
DB00620,DOID:4481,CtD,Hetionet
DB00563,DOID:2998,CtD,Hetionet
DB00629,DOID:10763,CtD,Hetionet
DB00441,DOID:263,CtD,Hetionet
DB00774,DOID:10763,CtD,Hetionet
DB00782,DOID:4989,CtD,Hetionet
DB00571,DOID:6364,CtD,Hetionet
DB00630,DOID:11476,CtD,Hetionet
DB01024,DOID:418,CtD,Hetionet
DB01248,DOID:1612,CtD,Hetionet
DB00987,DOID:2531,CtD,Hetionet
DB00938,DOID:2841,CtD,Hetionet
DB01204,DOID:2531,CtD,Hetionet
DB00999,DOID:10763,CtD,Hetionet
DB00620,DOID:8893,CtD,Hetionet
DB00958,DOID:2394,CtD,Hetionet
DB00480,DOID:2531,CtD,Hetionet
DB01204,DOID:10283,CtD,Hetionet
DB00443,DOID:9008,CtD,Hetionet
DB00627,DOID:3393,CtD,Hetionet
DB00563,DOID:9008,CtD,Hetionet
DB00359,DOID:12365,CtD,Hetionet
DB00700,DOID:3393,CtD,Hetionet
DB01248,DOID:1324,CtD,Hetionet
DB00305,DOID:10534,CtD,Hetionet
DB01006,DOID:1612,CtD,Hetionet
DB00958,DOID:2998,CtD,Hetionet
DB00997,DOID:1115,CtD,Hetionet
DB00947,DOID:1612,CtD,Hetionet
DB01181,DOID:2994,CtD,Hetionet
DB00563,DOID:418,CtD,Hetionet
DB00635,DOID:3083,CtD,Hetionet
DB00544,DOID:1793,CtD,Hetionet
DB00997,DOID:1781,CtD,Hetionet
DB00983,DOID:2841,CtD,Hetionet
DB00187,DOID:10763,CtD,Hetionet
DB00421,DOID:12930,CtD,Hetionet
DB00958,DOID:11054,CtD,Hetionet
DB00443,DOID:4481,CtD,Hetionet
DB00977,DOID:11476,CtD,Hetionet
DB00851,DOID:1192,CtD,Hetionet
DB00169,DOID:8893,CtD,Hetionet
DB00959,DOID:2841,CtD,Hetionet
DB00776,DOID:1826,CtD,Hetionet
DB00126,DOID:10283,CtD,Hetionet
DB00795,DOID:8778,CtD,Hetionet
DB00544,DOID:11054,CtD,Hetionet
DB00443,DOID:8893,CtD,Hetionet
DB00180,DOID:2841,CtD,Hetionet
DB00291,DOID:2394,CtD,Hetionet
DB00563,DOID:7147,CtD,Hetionet
DB00258,DOID:11476,CtD,Hetionet
DB01196,DOID:10283,CtD,Hetionet
DB00313,DOID:6364,CtD,Hetionet
DB00153,DOID:7148,CtD,Hetionet
DB00444,DOID:0060073,CtD,Hetionet
DB02300,DOID:8893,CtD,Hetionet
DB00970,DOID:363,CtD,Hetionet
DB00264,DOID:10763,CtD,Hetionet
DB06287,DOID:263,CtD,Hetionet
DB01181,DOID:2998,CtD,Hetionet
DB00552,DOID:2531,CtD,Hetionet
DB01185,DOID:1612,CtD,Hetionet
DB00973,DOID:3393,CtD,Hetionet
DB00290,DOID:0060073,CtD,Hetionet
DB00799,DOID:8893,CtD,Hetionet
DB00563,DOID:0060073,CtD,Hetionet
DB00722,DOID:12930,CtD,Hetionet
DB01001,DOID:2841,CtD,Hetionet
DB00515,DOID:1192,CtD,Hetionet
DB00014,DOID:10283,CtD,Hetionet
DB00539,DOID:1612,CtD,Hetionet
DB00773,DOID:2994,CtD,Hetionet
DB01268,DOID:1793,CtD,Hetionet
DB00436,DOID:10763,CtD,Hetionet
DB01156,DOID:9970,CtD,Hetionet
DB00909,DOID:1826,CtD,Hetionet
DB00958,DOID:1319,CtD,Hetionet
DB00275,DOID:3393,CtD,Hetionet
DB01234,DOID:2841,CtD,Hetionet
DB00445,DOID:1115,CtD,Hetionet
DB00091,DOID:1312,CtD,Hetionet
DB01229,DOID:263,CtD,Hetionet
DB00575,DOID:10763,CtD,Hetionet
DB02546,DOID:2531,CtD,Hetionet
DB00449,DOID:1686,CtD,Hetionet
DB00291,DOID:2531,CtD,Hetionet
DB00544,DOID:1612,CtD,Hetionet
DB00445,DOID:2531,CtD,Hetionet
DB00594,DOID:10763,CtD,Hetionet
DB00443,DOID:7148,CtD,Hetionet
DB00361,DOID:1612,CtD,Hetionet
DB00881,DOID:10763,CtD,Hetionet
DB00635,DOID:8577,CtD,Hetionet
DB00503,DOID:635,CtD,Hetionet
DB01190,DOID:12365,CtD,Hetionet
DB00519,DOID:3393,CtD,Hetionet
DB00968,DOID:10763,CtD,Hetionet
DB00310,DOID:10763,CtD,Hetionet
DB00515,DOID:11054,CtD,Hetionet
DB01206,DOID:1319,CtD,Hetionet
DB00675,DOID:1612,CtD,Hetionet
DB01101,DOID:10283,CtD,Hetionet
DB00764,DOID:418,CtD,Hetionet
DB00635,DOID:9074,CtD,Hetionet
DB01042,DOID:1612,CtD,Hetionet
DB00851,DOID:4159,CtD,Hetionet
DB01217,DOID:1612,CtD,Hetionet
DB00795,DOID:7147,CtD,Hetionet
DB01076,DOID:10763,CtD,Hetionet
DB01346,DOID:12365,CtD,Hetionet
DB01001,DOID:3083,CtD,Hetionet
DB01097,DOID:7148,CtD,Hetionet
DB00350,DOID:10763,CtD,Hetionet
DB00290,DOID:2531,CtD,Hetionet
DB05294,DOID:1781,CtD,Hetionet
DB00549,DOID:2841,CtD,Hetionet
DB01254,DOID:2531,CtD,Hetionet
DB00563,DOID:11054,CtD,Hetionet
DB01105,DOID:9970,CtD,Hetionet
DB00853,DOID:4159,CtD,Hetionet
DB00347,DOID:1826,CtD,Hetionet
DB00678,DOID:9352,CtD,Hetionet
DB00920,DOID:2841,CtD,Hetionet
DB00188,DOID:2531,CtD,Hetionet
DB00661,DOID:10763,CtD,Hetionet
DB00703,DOID:1686,CtD,Hetionet
DB01222,DOID:8577,CtD,Hetionet
DB00575,DOID:1686,CtD,Hetionet
DB00884,DOID:5408,CtD,Hetionet
DB00584,DOID:10763,CtD,Hetionet
DB04574,DOID:11476,CtD,Hetionet
DB00959,DOID:4481,CtD,Hetionet
DB01016,DOID:11714,CtD,Hetionet
DB00620,DOID:9008,CtD,Hetionet
DB01250,DOID:8577,CtD,Hetionet
DB00220,DOID:635,CtD,Hetionet
DB00444,DOID:1324,CtD,Hetionet
DB00468,DOID:12365,CtD,Hetionet
DB00851,DOID:1115,CtD,Hetionet
DB00695,DOID:3393,CtD,Hetionet
DB00674,DOID:10652,CtD,Hetionet
DB00544,DOID:11934,CtD,Hetionet
DB01234,DOID:8893,CtD,Hetionet
DB00337,DOID:3310,CtD,Hetionet
DB00860,DOID:3310,CtD,Hetionet
DB05039,DOID:2841,CtD,Hetionet
DB00442,DOID:2043,CtD,Hetionet
DB00291,DOID:2998,CtD,Hetionet
DB00865,DOID:9970,CtD,Hetionet
DB00563,DOID:7148,CtD,Hetionet
DB00104,DOID:3277,CtD,Hetionet
DB04845,DOID:1612,CtD,Hetionet
DB01039,DOID:3393,CtD,Hetionet
DB00908,DOID:12365,CtD,Hetionet
DB00443,DOID:2377,CtD,Hetionet
DB00570,DOID:1324,CtD,Hetionet
DB06699,DOID:10283,CtD,Hetionet
DB01016,DOID:9352,CtD,Hetionet
DB01076,DOID:3393,CtD,Hetionet
DB01073,DOID:0060073,CtD,Hetionet
DB00983,DOID:3083,CtD,Hetionet
DB00530,DOID:1793,CtD,Hetionet
DB00287,DOID:1686,CtD,Hetionet
DB00519,DOID:10763,CtD,Hetionet
DB01083,DOID:9970,CtD,Hetionet
DB06218,DOID:1826,CtD,Hetionet
DB00722,DOID:3393,CtD,Hetionet
DB00434,DOID:4481,CtD,Hetionet
DB00541,DOID:0060073,CtD,Hetionet
DB01047,DOID:8893,CtD,Hetionet
DB01024,DOID:8893,CtD,Hetionet
DB00262,DOID:1909,CtD,Hetionet
DB00997,DOID:1612,CtD,Hetionet
DB01098,DOID:1936,CtD,Hetionet
DB00437,DOID:13189,CtD,Hetionet
DB00227,DOID:3393,CtD,Hetionet
DB04861,DOID:10763,CtD,Hetionet
DB00307,DOID:2531,CtD,Hetionet
DB06589,DOID:263,CtD,Hetionet
DB00762,DOID:1612,CtD,Hetionet
DB00284,DOID:9352,CtD,Hetionet
DB00481,DOID:11476,CtD,Hetionet
DB00958,DOID:184,CtD,Hetionet
DB00451,DOID:1459,CtD,Hetionet
DB01097,DOID:418,CtD,Hetionet
DB00993,DOID:9074,CtD,Hetionet
DB01601,DOID:635,CtD,Hetionet
DB00860,DOID:7147,CtD,Hetionet
DB01197,DOID:3393,CtD,Hetionet
DB00250,DOID:1024,CtD,Hetionet
DB01080,DOID:1826,CtD,Hetionet
DB01359,DOID:3393,CtD,Hetionet
DB00349,DOID:1826,CtD,Hetionet
DB00641,DOID:1936,CtD,Hetionet
DB00445,DOID:2998,CtD,Hetionet
DB00970,DOID:2994,CtD,Hetionet
DB00773,DOID:363,CtD,Hetionet
DB00741,DOID:8893,CtD,Hetionet
DB00853,DOID:1909,CtD,Hetionet
DB00563,DOID:184,CtD,Hetionet
DB00705,DOID:635,CtD,Hetionet
DB00997,DOID:2394,CtD,Hetionet
DB01144,DOID:1686,CtD,Hetionet
DB01210,DOID:1686,CtD,Hetionet
DB00741,DOID:9074,CtD,Hetionet
DB00970,DOID:4159,CtD,Hetionet
DB00254,DOID:12365,CtD,Hetionet
DB01043,DOID:10652,CtD,Hetionet
DB01234,DOID:3310,CtD,Hetionet
DB01241,DOID:3393,CtD,Hetionet
DB01014,DOID:8577,CtD,Hetionet
DB00570,DOID:263,CtD,Hetionet
DB01048,DOID:635,CtD,Hetionet
DB00495,DOID:635,CtD,Hetionet
DB01223,DOID:3083,CtD,Hetionet
DB01067,DOID:9352,CtD,Hetionet
DB01223,DOID:2841,CtD,Hetionet
DB00412,DOID:9352,CtD,Hetionet
DB00860,DOID:9008,CtD,Hetionet
DB01174,DOID:1826,CtD,Hetionet
DB00455,DOID:2841,CtD,Hetionet
DB01097,DOID:9074,CtD,Hetionet
DB05389,DOID:2841,CtD,Hetionet
DB00091,DOID:7148,CtD,Hetionet
DB01234,DOID:2531,CtD,Hetionet
DB01291,DOID:2841,CtD,Hetionet
DB01073,DOID:2531,CtD,Hetionet
DB00888,DOID:0060073,CtD,Hetionet
DB01206,DOID:2531,CtD,Hetionet
DB00731,DOID:9352,CtD,Hetionet
DB00635,DOID:13189,CtD,Hetionet
DB01032,DOID:13189,CtD,Hetionet
DB00384,DOID:10763,CtD,Hetionet
DB00471,DOID:3083,CtD,Hetionet
DB00843,DOID:10652,CtD,Hetionet
DB01394,DOID:12236,CtD,Hetionet
DB06201,DOID:1826,CtD,Hetionet
DB00457,DOID:10763,CtD,Hetionet
DB01577,DOID:9970,CtD,Hetionet
DB00317,DOID:1324,CtD,Hetionet
DB00945,DOID:3393,CtD,Hetionet
DB00773,DOID:11054,CtD,Hetionet
DB00321,DOID:6364,CtD,Hetionet
DB00619,DOID:2531,CtD,Hetionet
DB00588,DOID:2841,CtD,Hetionet
DB00136,DOID:8893,CtD,Hetionet
DB00722,DOID:418,CtD,Hetionet
DB00584,DOID:3393,CtD,Hetionet
DB00635,DOID:8893,CtD,Hetionet
DB04572,DOID:11054,CtD,Hetionet
DB00990,DOID:1612,CtD,Hetionet
DB00397,DOID:9970,CtD,Hetionet
DB00541,DOID:4045,CtD,Hetionet
DB00788,DOID:13189,CtD,Hetionet
DB00860,DOID:8577,CtD,Hetionet
DB00136,DOID:11476,CtD,Hetionet
DB01033,DOID:8577,CtD,Hetionet
DB00343,DOID:10763,CtD,Hetionet
DB00997,DOID:10283,CtD,Hetionet
DB01085,DOID:1686,CtD,Hetionet
DB00790,DOID:3393,CtD,Hetionet
DB00722,DOID:10763,CtD,Hetionet
DB01041,DOID:1024,CtD,Hetionet
DB00993,DOID:2377,CtD,Hetionet
DB00178,DOID:3393,CtD,Hetionet
DB01234,DOID:7148,CtD,Hetionet
DB00445,DOID:1192,CtD,Hetionet
DB00563,DOID:2994,CtD,Hetionet
DB00571,DOID:10763,CtD,Hetionet
DB01248,DOID:1793,CtD,Hetionet
DB01248,DOID:2394,CtD,Hetionet
DB01248,DOID:10283,CtD,Hetionet
DB00445,DOID:363,CtD,Hetionet
DB00443,DOID:9074,CtD,Hetionet
DB00987,DOID:0060073,CtD,Hetionet
DB00542,DOID:10763,CtD,Hetionet
DB00014,DOID:1612,CtD,Hetionet
DB01128,DOID:10283,CtD,Hetionet
DB00373,DOID:1686,CtD,Hetionet
DB01033,DOID:2531,CtD,Hetionet
DB01101,DOID:219,CtD,Hetionet
DB01077,DOID:11476,CtD,Hetionet
DB01248,DOID:11934,CtD,Hetionet
DB00523,DOID:2531,CtD,Hetionet
DB00995,DOID:7148,CtD,Hetionet
DB00635,DOID:7147,CtD,Hetionet
DB00796,DOID:10763,CtD,Hetionet
DB00398,DOID:3571,CtD,Hetionet
DB00635,DOID:2377,CtD,Hetionet
DB08882,DOID:9352,CtD,Hetionet
DB00997,DOID:11054,CtD,Hetionet
DB06697,DOID:12365,CtD,Hetionet
DB01030,DOID:4362,CtD,Hetionet
DB00806,DOID:12365,CtD,Hetionet
DB00819,DOID:1826,CtD,Hetionet
DB00740,DOID:332,CtD,Hetionet
DB00683,DOID:1826,CtD,Hetionet
DB00553,DOID:12306,CtD,Hetionet
DB01030,DOID:2394,CtD,Hetionet
DB06772,DOID:10283,CtD,Hetionet
DB01083,DOID:9352,CtD,Hetionet
DB00790,DOID:10763,CtD,Hetionet
DB00153,DOID:11476,CtD,Hetionet
DB00515,DOID:184,CtD,Hetionet
DB00966,DOID:10763,CtD,Hetionet
DB00903,DOID:10763,CtD,Hetionet
DB00709,DOID:635,CtD,Hetionet
DB00818,DOID:1826,CtD,Hetionet
DB00361,DOID:1324,CtD,Hetionet
DB00459,DOID:8893,CtD,Hetionet
DB01234,DOID:4481,CtD,Hetionet
DB00411,DOID:1686,CtD,Hetionet
DB00221,DOID:2841,CtD,Hetionet
DB00806,DOID:418,CtD,Hetionet
DB00262,DOID:2531,CtD,Hetionet
DB00959,DOID:9074,CtD,Hetionet
DB00590,DOID:10763,CtD,Hetionet
DB01229,DOID:1612,CtD,Hetionet
DB00509,DOID:1459,CtD,Hetionet
DB00563,DOID:219,CtD,Hetionet
DB00530,DOID:263,CtD,Hetionet
DB00993,DOID:8778,CtD,Hetionet
DB01018,DOID:10763,CtD,Hetionet
DB01042,DOID:2394,CtD,Hetionet
