Compound_id,Atc_id,relation_type,database
DB00182,N06BA01,x-atc,DRUGBANK
DB00183,V04CG04,x-atc,DRUGBANK
DB00184,N07BA01,x-atc,DRUGBANK
DB00185,N07AX03,x-atc,DRUGBANK
DB00186,N05BA56,x-atc,DRUGBANK
DB00187,C07AB09,x-atc,DRUGBANK
DB00188,L01XX32,x-atc,DRUGBANK
DB00189,N05CM08,x-atc,DRUGBANK
DB00191,A08AA01,x-atc,DRUGBANK
DB00193,N02AJ13,x-atc,DRUGBANK
DB00194,J05AB03,x-atc,DRUGBANK
DB00195,S01ED02,x-atc,DRUGBANK
DB00196,J01RA07,x-atc,DRUGBANK
DB00197,A10BG01,x-atc,DRUGBANK
DB00198,J05AH02,x-atc,DRUGBANK
DB00199,J01FA01,x-atc,DRUGBANK
DB00200,B03BA53,x-atc,DRUGBANK
DB00201,R03DA20,x-atc,DRUGBANK
DB00202,M03AB01,x-atc,DRUGBANK
DB00203,G01AE10,x-atc,DRUGBANK
DB00204,C01BD04,x-atc,DRUGBANK
DB00205,P01BD01,x-atc,DRUGBANK
DB00206,C02LA51,x-atc,DRUGBANK
DB00207,J01RA07,x-atc,DRUGBANK
DB00208,B01AC05,x-atc,DRUGBANK
DB00209,A03DA06,x-atc,DRUGBANK
DB00210,D10AD03,x-atc,DRUGBANK
DB00211,C01CA17,x-atc,DRUGBANK
DB00212,C09XA01,x-atc,DRUGBANK
DB00213,A02BD04,x-atc,DRUGBANK
DB00214,C03CA04,x-atc,DRUGBANK
DB00215,N06AB04,x-atc,DRUGBANK
DB00216,N02CC06,x-atc,DRUGBANK
DB00217,C02CC01,x-atc,DRUGBANK
DB00218,S01AE07,x-atc,DRUGBANK
DB00219,A03AB53,x-atc,DRUGBANK
DB00220,J05AE04,x-atc,DRUGBANK
DB00222,A10BD04,x-atc,DRUGBANK
DB00223,D07AC10,x-atc,DRUGBANK
DB00224,J05AE02,x-atc,DRUGBANK
DB00225,V08CA03,x-atc,DRUGBANK
DB00227,C10AA02,x-atc,DRUGBANK
DB00228,N01AB04,x-atc,DRUGBANK
DB00229,J01DC07,x-atc,DRUGBANK
DB00230,N03AX16,x-atc,DRUGBANK
DB00231,N05CD07,x-atc,DRUGBANK
DB00232,C03AA08,x-atc,DRUGBANK
DB00233,J04AA02,x-atc,DRUGBANK
DB00234,N06AX18,x-atc,DRUGBANK
DB00235,C01CE02,x-atc,DRUGBANK
DB00236,L01AX02,x-atc,DRUGBANK
DB00238,J05AG01,x-atc,DRUGBANK
DB00239,D01AC11,x-atc,DRUGBANK
DB00240,D07AB10,x-atc,DRUGBANK
DB00241,N05CB01,x-atc,DRUGBANK
DB00242,L04AA40,x-atc,DRUGBANK
DB00243,C01EB18,x-atc,DRUGBANK
DB00244,A07EC02,x-atc,DRUGBANK
DB00245,N04AC01,x-atc,DRUGBANK
DB00246,N05AE04,x-atc,DRUGBANK
DB00247,N02CA04,x-atc,DRUGBANK
DB00248,N04BC06,x-atc,DRUGBANK
DB00249,J05AB02,x-atc,DRUGBANK
DB00250,D10AX05,x-atc,DRUGBANK
DB00251,G01AG02,x-atc,DRUGBANK
DB00252,N03AB02,x-atc,DRUGBANK
DB00253,S01BA08,x-atc,DRUGBANK
DB00254,J01AA02,x-atc,DRUGBANK
DB00255,L02AA04,x-atc,DRUGBANK
DB00256,J01AA04,x-atc,DRUGBANK
DB00257,D01AC01,x-atc,DRUGBANK
DB00258,V03AE04,x-atc,DRUGBANK
DB00259,G01AE10,x-atc,DRUGBANK
DB00260,J04AB01,x-atc,DRUGBANK
DB00261,L01XX35,x-atc,DRUGBANK
DB00262,L01AD01,x-atc,DRUGBANK
DB00263,J01EB05,x-atc,DRUGBANK
DB00264,C07FB02,x-atc,DRUGBANK
DB00266,B01AA01,x-atc,DRUGBANK
DB00267,J01DD05,x-atc,DRUGBANK
DB00268,N04BC04,x-atc,DRUGBANK
DB00269,G03CA06,x-atc,DRUGBANK
DB00270,C08CA03,x-atc,DRUGBANK
DB00271,V08AA01,x-atc,DRUGBANK
DB00272,V04CG02,x-atc,DRUGBANK
DB00273,N03AX11,x-atc,DRUGBANK
DB00274,J01DC09,x-atc,DRUGBANK
DB00275,C09DA08,x-atc,DRUGBANK
DB00276,L01XX01,x-atc,DRUGBANK
DB00277,R03DA54,x-atc,DRUGBANK
DB00278,B01AE03,x-atc,DRUGBANK
DB00279,H03AA03,x-atc,DRUGBANK
DB00280,C01BA03,x-atc,DRUGBANK
DB00281,S01HA07,x-atc,DRUGBANK
DB00282,M05BA03,x-atc,DRUGBANK
DB00283,D04AA14,x-atc,DRUGBANK
DB00284,A10BD17,x-atc,DRUGBANK
DB00285,N06AX16,x-atc,DRUGBANK
DB00286,G03CA57,x-atc,DRUGBANK
DB00287,S01EE04,x-atc,DRUGBANK
DB00288,D07AC11,x-atc,DRUGBANK
DB00289,N06BA09,x-atc,DRUGBANK
DB00290,L01DC01,x-atc,DRUGBANK
DB00291,L01AA02,x-atc,DRUGBANK
DB00292,N01AX07,x-atc,DRUGBANK
DB00293,L01BA03,x-atc,DRUGBANK
DB00294,G03AC08,x-atc,DRUGBANK
DB00295,A07DA52,x-atc,DRUGBANK
DB00296,N01BB09,x-atc,DRUGBANK
DB00297,N01BB01,x-atc,DRUGBANK
DB00298,S01EX02,x-atc,DRUGBANK
DB00299,D06BB06,x-atc,DRUGBANK
DB00300,J05AR09,x-atc,DRUGBANK
DB00301,J01CR50,x-atc,DRUGBANK
DB00302,B02AA02,x-atc,DRUGBANK
DB00303,J01DH03,x-atc,DRUGBANK
DB00304,G03AC09,x-atc,DRUGBANK
DB00305,L01DC03,x-atc,DRUGBANK
DB00306,N05CA07,x-atc,DRUGBANK
DB00307,L01XX25,x-atc,DRUGBANK
DB00308,C01BD05,x-atc,DRUGBANK
DB00309,L01CA03,x-atc,DRUGBANK
DB00310,G01AE10,x-atc,DRUGBANK
DB00312,N05CB01,x-atc,DRUGBANK
DB00313,N03AG01,x-atc,DRUGBANK
DB00314,J04AB30,x-atc,DRUGBANK
DB00315,N02CC03,x-atc,DRUGBANK
DB00316,N02BE71,x-atc,DRUGBANK
DB00317,L01XE02,x-atc,DRUGBANK
DB00318,N02AA79,x-atc,DRUGBANK
DB00319,J01CA12,x-atc,DRUGBANK
DB00320,N02CA51,x-atc,DRUGBANK
DB00321,N06AA09,x-atc,DRUGBANK
DB00322,L01BC09,x-atc,DRUGBANK
DB00323,N04BX01,x-atc,DRUGBANK
DB00324,D07XB04,x-atc,DRUGBANK
DB00325,C02DD01,x-atc,DRUGBANK
DB00326,A12AA10,x-atc,DRUGBANK
DB00327,N02AA53,x-atc,DRUGBANK
DB00328,S01CC02,x-atc,DRUGBANK
DB00330,J04AK02,x-atc,DRUGBANK
DB00331,A10BD23,x-atc,DRUGBANK
DB00332,R03BB01,x-atc,DRUGBANK
DB00333,N07BC02,x-atc,DRUGBANK
DB00334,N05AH03,x-atc,DRUGBANK
DB00335,C07CB53,x-atc,DRUGBANK
DB00336,D08AF01,x-atc,DRUGBANK
DB00337,D11AH02,x-atc,DRUGBANK
DB00338,A02BC01,x-atc,DRUGBANK
DB00339,J04AK01,x-atc,DRUGBANK
DB00340,N04AA03,x-atc,DRUGBANK
DB00341,R06AE07,x-atc,DRUGBANK
DB00342,R06AX12,x-atc,DRUGBANK
DB00343,C08DB01,x-atc,DRUGBANK
DB00344,N06AA11,x-atc,DRUGBANK
DB00345,V04CH30,x-atc,DRUGBANK
DB00346,G04CA01,x-atc,DRUGBANK
DB00347,N03AC02,x-atc,DRUGBANK
DB00348,A16AX04,x-atc,DRUGBANK
DB00349,N05BA09,x-atc,DRUGBANK
DB00350,D11AX01,x-atc,DRUGBANK
DB00351,G03FB04,x-atc,DRUGBANK
DB00352,L01BB03,x-atc,DRUGBANK
DB00353,G02AC01,x-atc,DRUGBANK
DB00354,R06AE51,x-atc,DRUGBANK
DB00355,J01DF01,x-atc,DRUGBANK
DB00356,M03BB03,x-atc,DRUGBANK
DB00357,L02BG01,x-atc,DRUGBANK
DB00358,P01BF02,x-atc,DRUGBANK
DB00359,J01EE06,x-atc,DRUGBANK
DB00360,A16AX07,x-atc,DRUGBANK
DB00361,L01CA04,x-atc,DRUGBANK
DB00362,J02AX06,x-atc,DRUGBANK
DB00363,N05AH02,x-atc,DRUGBANK
DB00364,A02BX02,x-atc,DRUGBANK
DB00365,J01MA11,x-atc,DRUGBANK
DB00366,R06AA09,x-atc,DRUGBANK
DB00367,G03AB03,x-atc,DRUGBANK
DB00368,C01CA03,x-atc,DRUGBANK
DB00369,J05AB12,x-atc,DRUGBANK
DB00370,N06AX11,x-atc,DRUGBANK
DB00371,N05BC51,x-atc,DRUGBANK
DB00372,R06AD03,x-atc,DRUGBANK
DB00373,C07AA06,x-atc,DRUGBANK
DB00374,B01AC21,x-atc,DRUGBANK
DB00375,C10AC02,x-atc,DRUGBANK
DB00376,N04AA01,x-atc,DRUGBANK
DB00377,A04AA55,x-atc,DRUGBANK
DB00378,G03FA14,x-atc,DRUGBANK
DB00379,C01BB02,x-atc,DRUGBANK
DB00380,V03AF02,x-atc,DRUGBANK
DB00381,C09XA54,x-atc,DRUGBANK
DB00382,N06DA01,x-atc,DRUGBANK
DB00383,A03AA01,x-atc,DRUGBANK
DB00384,C03DB02,x-atc,DRUGBANK
DB00385,L01DB09,x-atc,DRUGBANK
DB00387,N04AA04,x-atc,DRUGBANK
DB00388,S01FB01,x-atc,DRUGBANK
DB00389,H03BB01,x-atc,DRUGBANK
DB00390,C01AA05,x-atc,DRUGBANK
DB00391,N05AL01,x-atc,DRUGBANK
DB00392,N04AA05,x-atc,DRUGBANK
DB00393,C08CA06,x-atc,DRUGBANK
DB00394,D07CC04,x-atc,DRUGBANK
DB00395,M03BA02,x-atc,DRUGBANK
DB00396,G03FA04,x-atc,DRUGBANK
DB00397,R01BA51,x-atc,DRUGBANK
DB00398,L01XE05,x-atc,DRUGBANK
DB00399,M05BB08,x-atc,DRUGBANK
DB00400,D01BA01,x-atc,DRUGBANK
DB00401,C08CA07,x-atc,DRUGBANK
DB00402,N05CF04,x-atc,DRUGBANK
DB00403,V04CC04,x-atc,DRUGBANK
DB00404,N05BA12,x-atc,DRUGBANK
DB00405,R06AB06,x-atc,DRUGBANK
DB00406,G01AX09,x-atc,DRUGBANK
DB00408,N05AH01,x-atc,DRUGBANK
DB00409,N05AL04,x-atc,DRUGBANK
DB00410,R01AX06,x-atc,DRUGBANK
DB00411,N07AB01,x-atc,DRUGBANK
DB00412,A10BD04,x-atc,DRUGBANK
DB00413,N04BC05,x-atc,DRUGBANK
DB00414,A10BB31,x-atc,DRUGBANK
DB00415,J01CR50,x-atc,DRUGBANK
DB00417,J01CR50,x-atc,DRUGBANK
DB00418,N05CB01,x-atc,DRUGBANK
DB00419,A16AX06,x-atc,DRUGBANK
DB00420,N05AA03,x-atc,DRUGBANK
DB00421,C03DA01,x-atc,DRUGBANK
DB00422,N06BA04,x-atc,DRUGBANK
DB00423,M03BA73,x-atc,DRUGBANK
DB00424,A03BA03,x-atc,DRUGBANK
DB00425,N05CF02,x-atc,DRUGBANK
DB00426,J05AB09,x-atc,DRUGBANK
DB00427,R06AX07,x-atc,DRUGBANK
DB00428,L01AD04,x-atc,DRUGBANK
DB00429,G02AD04,x-atc,DRUGBANK
DB00430,J01DD11,x-atc,DRUGBANK
DB00431,P03AB02,x-atc,DRUGBANK
DB00432,L01BC59,x-atc,DRUGBANK
DB00433,N05AB04,x-atc,DRUGBANK
DB00434,R06AX02,x-atc,DRUGBANK
DB00435,R07AX01,x-atc,DRUGBANK
DB00436,C03AB01,x-atc,DRUGBANK
DB00437,M04AA01,x-atc,DRUGBANK
DB00438,J01DD02,x-atc,DRUGBANK
DB00439,C10AA06,x-atc,DRUGBANK
DB00440,J04AM08,x-atc,DRUGBANK
DB00441,L01BC05,x-atc,DRUGBANK
DB00442,J05AF10,x-atc,DRUGBANK
DB00443,R01AD06,x-atc,DRUGBANK
DB00444,L01CB02,x-atc,DRUGBANK
DB00445,L01DB03,x-atc,DRUGBANK
DB00446,S03AA08,x-atc,DRUGBANK
DB00447,J01DC08,x-atc,DRUGBANK
DB00448,A02BC03,x-atc,DRUGBANK
DB00449,S01EA02,x-atc,DRUGBANK
DB00450,N05AD08,x-atc,DRUGBANK
DB00451,H03AA01,x-atc,DRUGBANK
DB00452,D09AA01,x-atc,DRUGBANK
DB00453,J01AA11,x-atc,DRUGBANK
DB00454,N02AB02,x-atc,DRUGBANK
DB00455,R06AX13,x-atc,DRUGBANK
DB00456,J01DB03,x-atc,DRUGBANK
DB00457,C02LE01,x-atc,DRUGBANK
DB00458,N06AA02,x-atc,DRUGBANK
DB00459,D05BB02,x-atc,DRUGBANK
DB00460,S01LA01,x-atc,DRUGBANK
DB00461,M01AX01,x-atc,DRUGBANK
DB00463,N03AA30,x-atc,DRUGBANK
DB00464,C05BB04,x-atc,DRUGBANK
DB00465,M01AB15,x-atc,DRUGBANK
DB00467,J01MA04,x-atc,DRUGBANK
DB00468,M09AA72,x-atc,DRUGBANK
DB00469,M01AC02,x-atc,DRUGBANK
DB00470,A04AD10,x-atc,DRUGBANK
DB00471,R03DC03,x-atc,DRUGBANK
DB00472,N06CA03,x-atc,DRUGBANK
DB00474,N05CB01,x-atc,DRUGBANK
DB00475,N05BA02,x-atc,DRUGBANK
DB00476,N06AX21,x-atc,DRUGBANK
DB00477,N05AA01,x-atc,DRUGBANK
DB00478,J05AC02,x-atc,DRUGBANK
DB00479,S01AA21,x-atc,DRUGBANK
DB00480,L04AX04,x-atc,DRUGBANK
DB00481,G03XC01,x-atc,DRUGBANK
DB00482,M01AH01,x-atc,DRUGBANK
DB00484,D11AX21,x-atc,DRUGBANK
DB00485,J01CR50,x-atc,DRUGBANK
DB00486,A04AD11,x-atc,DRUGBANK
DB00487,J01MA03,x-atc,DRUGBANK
DB00488,L01XX03,x-atc,DRUGBANK
DB00489,C07AA07,x-atc,DRUGBANK
DB00490,N05BE01,x-atc,DRUGBANK
DB00491,A10BF02,x-atc,DRUGBANK
DB00492,C09BA09,x-atc,DRUGBANK
DB00493,J01DD01,x-atc,DRUGBANK
DB00494,N04BX02,x-atc,DRUGBANK
DB00495,J05AR04,x-atc,DRUGBANK
DB00496,G04BD10,x-atc,DRUGBANK
DB00497,N02AA56,x-atc,DRUGBANK
DB00498,B01AA02,x-atc,DRUGBANK
DB00499,L02BB01,x-atc,DRUGBANK
DB00500,M01AB03,x-atc,DRUGBANK
DB00501,A02BA51,x-atc,DRUGBANK
DB00502,N05AD01,x-atc,DRUGBANK
DB00503,J05AP53,x-atc,DRUGBANK
DB00505,A03AB08,x-atc,DRUGBANK
DB00507,P01AX11,x-atc,DRUGBANK
DB00508,N05AA05,x-atc,DRUGBANK
DB00509,C10AX01,x-atc,DRUGBANK
DB00511,C01AA01,x-atc,DRUGBANK
DB00512,J01XA01,x-atc,DRUGBANK
DB00513,B02AA01,x-atc,DRUGBANK
DB00514,R05DA09,x-atc,DRUGBANK
DB00515,L01XA01,x-atc,DRUGBANK
DB00518,P02CA03,x-atc,DRUGBANK
DB00519,C09AA10,x-atc,DRUGBANK
DB00520,J02AX04,x-atc,DRUGBANK
DB00521,S01ED55,x-atc,DRUGBANK
DB00522,V04CK03,x-atc,DRUGBANK
DB00523,D11AH04,x-atc,DRUGBANK
DB00524,C03EA12,x-atc,DRUGBANK
DB00525,D01AE18,x-atc,DRUGBANK
DB00526,L01XA03,x-atc,DRUGBANK
DB00527,D04AB02,x-atc,DRUGBANK
DB00528,C09DB08,x-atc,DRUGBANK
DB00529,J05AD01,x-atc,DRUGBANK
DB00530,L01XE03,x-atc,DRUGBANK
DB00531,L01AA01,x-atc,DRUGBANK
DB00532,N03AB04,x-atc,DRUGBANK
DB00533,M01AH02,x-atc,DRUGBANK
DB00535,J01DD15,x-atc,DRUGBANK
DB00537,J01RA11,x-atc,DRUGBANK
DB00538,V08CA06,x-atc,DRUGBANK
DB00539,L02BA02,x-atc,DRUGBANK
DB00540,N06AA10,x-atc,DRUGBANK
DB00541,L01CA02,x-atc,DRUGBANK
DB00542,C09BA07,x-atc,DRUGBANK
DB00543,N06AA17,x-atc,DRUGBANK
DB00544,L01BC52,x-atc,DRUGBANK
DB00545,N07AA02,x-atc,DRUGBANK
DB00546,N05BA07,x-atc,DRUGBANK
DB00547,D07AC03,x-atc,DRUGBANK
DB00548,D10AX03,x-atc,DRUGBANK
DB00549,R03DC01,x-atc,DRUGBANK
DB00550,H03BA02,x-atc,DRUGBANK
DB00551,G04BX03,x-atc,DRUGBANK
DB00552,L01XX08,x-atc,DRUGBANK
DB00553,D05BA02,x-atc,DRUGBANK
DB00554,M01AC01,x-atc,DRUGBANK
DB00555,N03AX09,x-atc,DRUGBANK
DB00557,N05BB01,x-atc,DRUGBANK
DB00558,J05AH01,x-atc,DRUGBANK
DB00559,G01AE10,x-atc,DRUGBANK
DB00560,J01AA20,x-atc,DRUGBANK
DB00561,R07AB01,x-atc,DRUGBANK
DB00562,G01AE10,x-atc,DRUGBANK
DB00563,L04AX03,x-atc,DRUGBANK
DB00564,N03AF01,x-atc,DRUGBANK
DB00565,M03AC11,x-atc,DRUGBANK
DB00567,J01DB01,x-atc,DRUGBANK
DB00568,N07CA52,x-atc,DRUGBANK
DB00569,B01AX05,x-atc,DRUGBANK
DB00570,L01CA01,x-atc,DRUGBANK
DB00571,C07FX01,x-atc,DRUGBANK
DB00572,S01FA01,x-atc,DRUGBANK
DB00573,M01AE04,x-atc,DRUGBANK
DB00574,A08AA02,x-atc,DRUGBANK
DB00575,S01EA04,x-atc,DRUGBANK
DB00576,J01EB02,x-atc,DRUGBANK
DB00577,J05AB11,x-atc,DRUGBANK
DB00578,J01CR50,x-atc,DRUGBANK
DB00579,A08AA05,x-atc,DRUGBANK
DB00580,M01AH03,x-atc,DRUGBANK
DB00581,A06AD61,x-atc,DRUGBANK
DB00582,J02AC03,x-atc,DRUGBANK
DB00583,A16AA01,x-atc,DRUGBANK
DB00584,C09BA02,x-atc,DRUGBANK
DB00585,A02BA04,x-atc,DRUGBANK
DB00586,S01CC01,x-atc,DRUGBANK
DB00589,G02CB02,x-atc,DRUGBANK
DB00590,C02CA04,x-atc,DRUGBANK
DB00591,S01CA10,x-atc,DRUGBANK
DB00592,P02CB01,x-atc,DRUGBANK
DB00593,N03AD01,x-atc,DRUGBANK
DB00594,C03DB01,x-atc,DRUGBANK
DB00595,J01AA06,x-atc,DRUGBANK
DB00596,D07AC21,x-atc,DRUGBANK
DB00597,V08CA04,x-atc,DRUGBANK
DB00598,C07BG01,x-atc,DRUGBANK
DB00599,N01AF03,x-atc,DRUGBANK
DB00600,D11AX13,x-atc,DRUGBANK
DB00601,J01XX08,x-atc,DRUGBANK
DB00602,P02CF01,x-atc,DRUGBANK
DB00603,G03DA02,x-atc,DRUGBANK
DB00604,A03FA02,x-atc,DRUGBANK
DB00605,M01AB02,x-atc,DRUGBANK
DB00606,G01AE10,x-atc,DRUGBANK
DB00607,J01CR50,x-atc,DRUGBANK
DB00608,P01BA01,x-atc,DRUGBANK
DB00609,J04AD03,x-atc,DRUGBANK
DB00610,C01CA09,x-atc,DRUGBANK
DB00611,N02AF01,x-atc,DRUGBANK
DB00612,C07FX04,x-atc,DRUGBANK
DB00613,P01BF03,x-atc,DRUGBANK
DB00614,G01AX06,x-atc,DRUGBANK
DB00615,J04AB04,x-atc,DRUGBANK
DB00617,N03AC01,x-atc,DRUGBANK
DB00618,J01AA01,x-atc,DRUGBANK
DB00619,L01XE01,x-atc,DRUGBANK
DB00620,D07AB09,x-atc,DRUGBANK
DB00621,A14AA08,x-atc,DRUGBANK
DB00622,C08CA04,x-atc,DRUGBANK
DB00623,N05AB02,x-atc,DRUGBANK
DB00624,G03BA03,x-atc,DRUGBANK
DB00625,J05AR06,x-atc,DRUGBANK
DB00626,J01XX10,x-atc,DRUGBANK
DB00627,C10AD02,x-atc,DRUGBANK
DB00630,M05BB03,x-atc,DRUGBANK
DB00631,L01BB06,x-atc,DRUGBANK
DB00632,D06BB11,x-atc,DRUGBANK
DB00633,N05CM18,x-atc,DRUGBANK
DB00634,D10AF06,x-atc,DRUGBANK
DB00635,A07EA03,x-atc,DRUGBANK
DB00636,C10AB01,x-atc,DRUGBANK
DB00637,R06AX11,x-atc,DRUGBANK
DB00638,V04CH01,x-atc,DRUGBANK
DB00639,G01AF20,x-atc,DRUGBANK
DB00640,C01EB10,x-atc,DRUGBANK
DB00641,A10BH51,x-atc,DRUGBANK
DB00642,L01BA04,x-atc,DRUGBANK
DB00643,P02CA51,x-atc,DRUGBANK
DB00644,V04CM01,x-atc,DRUGBANK
DB00645,N01BX02,x-atc,DRUGBANK
DB00646,D01AA01,x-atc,DRUGBANK
DB00647,N02AC04,x-atc,DRUGBANK
DB00648,L01XX23,x-atc,DRUGBANK
DB00649,J05AF04,x-atc,DRUGBANK
DB00650,V03AF06,x-atc,DRUGBANK
DB00651,R03DA20,x-atc,DRUGBANK
DB00652,N02AD01,x-atc,DRUGBANK
DB00653,A06AD04,x-atc,DRUGBANK
DB00654,S01EE01,x-atc,DRUGBANK
DB00655,G03CC04,x-atc,DRUGBANK
DB00656,N06AX05,x-atc,DRUGBANK
DB00657,C02BB01,x-atc,DRUGBANK
DB00658,V03AE02,x-atc,DRUGBANK
DB00659,N07BB03,x-atc,DRUGBANK
DB00661,C09BB10,x-atc,DRUGBANK
DB00662,R06AA10,x-atc,DRUGBANK
DB00663,D07AB03,x-atc,DRUGBANK
DB00664,G01AE10,x-atc,DRUGBANK
